 	Identification	Name	Group of collection	Collection		Strain type		Synonyms	Reference équilibre	Date d'isolement	T ° of incubation	Bibliography	Sequence reference	Private Strain	Genotype	strain MOT	Wanted MTA	GMO strain	Restrictions on the dissemination	History of deposit	Isolated from	Properties	Classification	Clinical shape	Phenotype	Comments	Sequence reference	pathogenicity	Lieu	Classe emballage	Atmosphère incubation	Medium 
340	PCC 8910	Leptolyngbya	Cyanobactéries	PCC	407						22°			false		false	false	false		I. Thiery: strain MO40	Brook, mosson	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: nd Gas vesicles: nd 							Mediterranean coast, France	B	Aerobic	1539
341	PCC 8912	Synechocystis	Cyanobactéries	PCC	407					01-01-1988	22°	Appl. Environ. Microbiol., 1991, 57, 1354-1359		false		false	false	false		I. Thiery as Synechocystis M06.2	Secondary basin of sewage treatment pond	%G+C: 47 Genome size (Gdal): 2.04 Nutrition: photoheterotroph Salt tolerance: euryhaline N2 fixation: nd Pigments C-PE: - Pigments PEC: nd CCA: - W/D (vegetatives cells): 2.3 -2.6 W/D (transient stages): n/a Motility: - Gas vesicles: - 							Murviels, Mediterranean coast, France	B	Aerobic	1539
342	PCC 8913	Leptolyngbya	Cyanobactéries	PCC	407						22°C°	Appl. Environ. Microbiol., 1991, 57, 1354-1359.		false		false	false	false		I. Thiery: strain MO63	Secondary basin of sewage treatment pond	%G+C: nd Genome size (Gdal): nd Nutrition: obligate autotroph Salt tolerance: euryhaline N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): 1.9 - 2.4 W/D (transient stages): n/a Motility: nd Gas vesicles: nd 							Murviels, Mediterranean coast, France	B	Aerobic	1539
343	PCC 8914	Oscillatoria	Cyanobactéries	PCC	407						22°C°	Appl. Environ. Microbiol., 1991, 57, 1354-1359.		false		false	false	false		I. Thiery as Oscillatoria MO70	Sewage treatment pond	%G+C: nd Genome size (Gdal): nd Nutrition: obligate autotroph Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: + W/D (vegetatives cells): 11 - 12 W/D (transient stages): n/a Motility: permanent Gas vesicles: nd 							Murviels, Mediterranean coast, France	B	Aerobic	1539
344	PCC 8915	Synechocystis	Cyanobactéries	PCC	407					01-01-1988	22°	Appl. Environ. Microbiol., 1991, 57, 1354-1359.		false		false	false	false		I. Thiery as Synechocystis M08.0	Primary basin of sewage treatment pond	%G+C: 46.9 Genome size (Gdal): 2.24 Nutrition: photoheterotroph Salt tolerance: euryhaline N2 fixation: nd Pigments C-PE: - Pigments PEC: nd CCA: - W/D (vegetatives cells): 2.3 - 2.6 W/D (transient stages): n/a Motility: permanent Gas vesicles: - 							Murviels, Mediterranean coast, France	B	Aerobic	1539
345	PCC 8916	Cyanobium	Cyanobactéries	PCC	407					01-01-1988	22°			false		false	false	false		I. Thiery as Synechococcus M14.1	Brackish marshland	%G+C: nd Genome size (Gdal): nd Nutrition: nd Salt tolerance: euryhaline N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Phages (res): AS-1M Motility: nd Gas vesicles: - 							Etang de Berre, Fos sur mer, Mediterranean coast, France	B	Aerobic	1540
346	PCC 8918	Leptolyngbya	Cyanobactéries	PCC	407						22°			false		false	false	false		I. Thiery: strain M25	Cesspool	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: nd Gas vesicles: nd 							Martigues, Mediterranean coast, France	B	Aerobic	1539
347	PCC 8919	Oscillatoria	Cyanobactéries	PCC	407						22°			false		false	false	false		I. Thiery as Oscillatoria JO1	Filtration basin, water purification plant	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent Gas vesicles: nd 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.			Joinville Le Pont, France	B	Aerobic	1539
348	PCC 8920	Pseudanabaena	Cyanobactéries	PCC	407						22°			false		false	false	false		I. Thiery as Pseudanabaena J02	Filtration basin, water purification plant	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent Gaz vesicles: permanent, polar 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.			Joinville Le Pont, France	B	Aerobic	1552
349	PCC 8921	Pseudanabaena	Cyanobactéries	PCC	407						22°			false		false	false	false		I. Thiery as Pseudanabaena J03	Filtration basin, water purification plant	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent Gaz vesicles: permanent, polar 							Joinville Le Pont, France	B	Aerobic	1539
350	PCC 8922	Oscillatoria	Cyanobactéries	PCC	407						22°			false		false	false	false		I. Thiery as Oscillatoria DO1	Water storage basin, water purification plant	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent Gas vesicles: nd 							Orly, France	B	Aerobic	1539
351	PCC 8923	Oscillatoria	Cyanobactéries	PCC	407						22°			false		false	false	false		I. Thiery as Oscillatoria DO2	Water storage basin, water purification plant	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent Gas vesicles: nd 							Orly, France	B	Aerobic	1539
352	PCC 8924	Pseudanabaena	Cyanobactéries	PCC	407						22°			false		false	false	false		I. Thiery as Pseudanabaena S02	Soil, sand pit	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent Gaz vesicles: permanent, polar 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.			Dijon area, France	B	Aerobic	1552
353	PCC 8926	Planktothrix paucivesiculata	Cyanobactéries	PCC	407						22°C°			false		false	false	false		I. Thiery as Oscillatoria M201	Manure pit	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent 							Berre le Clos, Mediterranean coast, France	B	Aerobic	1539
354	PCC 8927	Planktothrix serta	Cyanobactéries	PCC	407						22°C°			false		false	false	false		I. Thiery as Oscillatoria M220	Sewage plant	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent 							Berre le Clos, Mediterranean coast, France	B	Aerobic	1539
355	PCC 8928	Oscillatoria	Cyanobactéries	PCC	407						22°			false		false	false	false		I. Thiery as Oscillatoria J04	Water, filtration basin of purification plant	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.			Joinville Le Pont, France	B	Aerobic	1539
356	PCC 8929	Pseudanabaena	Cyanobactéries	PCC	407						22°			false		false	false	false		I. Thiery as Pseudanabaena S03	Soil, sand pit	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent Gaz vesicles: permanent, polar 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.			Dijon area, France	B	Aerobic	1552
357	PCC 8930 	Oscillatoria	Cyanobactéries	PCC	407			Phormidium uncinatum		01-01-1956	22°			false		false	false	false		V. Rambaud-Serey & R. Rippka <- (l) M. Lefort-Tran <- Algothèque du CNRS, Gif-Sur-Yvette, France as Phormidium uncinatum Gif M101/8d <- (I) M. Lefèvre	Water, thermal spring								Bagnères, France	B	Aerobic	1539
358	PCC 8931	Synechocystis	Cyanobactéries	PCC	407						22°			false		false	false	false		L. Nicolas <- (l) I. Thiery as Synechocystis M20.5	Manure pit	%G+C: nd Genome size (Gdal): nd Nutrition: nd Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): > 3 W/D (transient stages): n/a Motility: permanent Gas vesicles: - 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.  &nbsp;  &nbsp;			Berre le Clos, Mediterranean coast, France	B	Aerobic	1539
359	PCC 8932	Synechocystis	Cyanobactéries	PCC	407						22°			false		false	false	false		I. Thiery as Synechocystis M18.1	Brackish marshland	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): 2 - 3 W/D (transient stages): n/a Motility: nd Gas vesicles: - 							St Chamas, Mediterranean coast, France	B	Aerobic	1539
360	PCC 8934	Geitlerinema	Cyanobactéries	PCC	407						22°	Appl. Environ. Microbiol., 1991, 57, 1354-1359.		false		false	false	false		I. Thiery: strain M134	Brackish marshland, Typha habitat	%G+C: nd Genome size (Gdal): nd Nutrition: obligate autotroph Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): 1.4 - 6 W/D (transient stages): n/a Motility: permanent 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.			Fos sur mer, Mediterranean coast, France	B	Aerobic	1540
361	PCC 8935	Oscillatoria	Cyanobactéries	PCC	407						22°			false		false	false	false		I. Thiery & R. Rippka as Oscillatoria M 133	Brackish marshland, Typha habitat	%G+C: nd Genome size (Gdal): nd Nutrition: obligate autotroph Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: + W/D (vegetatives cells): 11 - 12 W/D (transient stages): n/a Motility: permanent 				Notice :  This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.      			Fos sur mer, Mediterranean coast, France	B	Aerobic	1539
362	PCC 8936	Leptolyngbya	Cyanobactéries	PCC	407						22°			false		false	false	false		R. Rippka <- (l) I. Thiery as Plectonema M15.1	Salt marsh, Salicorna habitat, Lafarge factory	%G+C: nd Genome size (Gdal): nd Nutrition: photoheterotroph Salt tolerance: euryhaline N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: - W/D (vegetatives cells): 1.7 - 2.1 W/D (transient stages): n/a Motility: nd 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.  &nbsp;  &nbsp;			Fos sur mer, Mediterranean coast, France	B	Aerobic	1534
363	PCC 8937	Lyngbya	Cyanobactéries	PCC	407					01-01-1989	22°			false		false	false	false		R. Rippka <- (l) I. Thiery as Oscillatoria/Lyngbya M 152 <- L. Nicolas	Salt marsh, Salicorna habitat, Lafarge factory	%G+C: nd Genome size (Gdal): nd Nutrition: photoheterotroph Salt tolerance: marine N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): 12 - 13 W/D (transient stages): n/a Motility: transient Gas vesicles: - 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.  &nbsp;  &nbsp;			Fos sur mer, Mediterranean coast, France	B	Aerobic	1550
364	PCC 8938	Synechocystis	Cyanobactéries	PCC	407					01-01-1988	22°	Appl. Environ. Microbiol., 1991, 57, 1354-1359; Subsection I, in «Bergey's Manual of Systematic Bacteriology», 2001, 2nd Ed., 1, 493-514.		false		false	false	false		R. Rippka <- (l) I. Thiery as Synechocystis M15.3	Salt marsh, Salicorna habitat, Lafarge factory	%G+C: 47.5 Genome size (Gdal): 2.21 Nutrition: obligate autotroph Salt tolerance: euryhaline N2 fixation: nd Pigments C-PE: - Pigments PEC: nd CCA: - W/D (vegetatives cells): 3.3 - 3.8 W/D (transient stages): n/a Motility: - Gas vesicles: - 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.  &nbsp;  &nbsp;			Fos sur mer, Mediterranean coast, France	B	Aerobic	1540
365	PCC 8939	Cyanobium	Cyanobactéries	PCC	407					01-01-1988	22°	Appl. Environ. Microbiol., 1991, 57, 1354-1359.		false		false	false	false		R. Rippka <- (l) I. Thiery as Synechococcus M15.4	Salt marsh, Salicorna habitat, Lafarge factory	%G+C: 69.9 Genome size (Gdal): 1.95 Nutrition: obligate autotroph Salt tolerance: euryhaline N2 fixation: nd Pigments C-PE: - Pigments PEC: nd CCA: nd W/D (vegetatives cells): 1.2 - 1.4 W/D (transient stages): n/a Phages (res): AS-1M Motility: - Gas vesicles: - 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.			Fos sur mer, Mediterranean coast, France	B	Aerobic	1540
366	PCC 8940	Geitlerinema	Cyanobactéries	PCC	407						22°	Appl. Environ. Microbiol., 1991, 57, 1354-1359.		false		false	false	false		I. Thiery & R. Ripka: strain M 155	Salt marsh, Salicorna habitat, Lafarge factory	%G+C: nd Genome size (Gdal): nd Nutrition: obligate autotroph Salt tolerance: euryhaline N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): 2.7 - 3.1 W/D (transient stages): n/a Motility: permanent 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.			Lafarge factory, Fos sur mer, Mediterranean coast, France	B	Aerobic	1540
367	PCC 8941	Leptolyngbya	Cyanobactéries	PCC	407						22°			false		false	false	false		I. Thiery: strain LO 1	Communal wash-house	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Salt tolerance: marine 							Dijon, France	B	Aerobic	1539
368	PCC 8943	Synechococcus	Cyanobactéries	PCC	407						22°			false		false	false	false		I. Thiery as Synechocystis M11.2	Ditch	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): < 2 W/D (transient stages): n/a Motility: nd Gas vesicles: - 							Roubine Le Ponant, Grau du Roi, Mediterranean coast, France	B	Aerobic	1539
369	PCC 8944	Pseudanabaena	Cyanobactéries	PCC	407						22°			false		false	false	false		I. Thiery as Pseudanabaena D03	Water, storage basin of purification plant	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent Gaz vesicles: permanent, polar 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.  &nbsp;  &nbsp;			Orly, France	B	Aerobic	1539
370	PCC 8945	Leptolyngbya	Cyanobactéries	PCC	407						22°			false		false	false	false		I. Thiery as Plectonema boryanum 1a2	Fish, farm pond	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: nd Gas vesicles: nd Salt tolerance: marine 							Landjia, Central African Republic	B	Aerobic	1539
371	PCC 8946	Oscillatoria	Cyanobactéries	PCC	407					01-01-1989	22°			false		false	false	false		I. Thiery as Oscillatoria 1b1	Fish, farm pond	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.			Landjia, Central African Republic	B	Aerobic	1539
372	PCC 8947	Geitlerinema	Cyanobactéries	PCC	407						22°			false		false	false	false		I. Thiery: strain 18.1.3	Water, swimming pool	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent Gas vesicles: nd 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.  &nbsp;  &nbsp;			Central African Republic	B	Aerobic	1539
373	PCC 8948	Geitlerinema	Cyanobactéries	PCC	407						22°C°			false		false	false	false		I. Thiery: strain 4.2	Fish, farm pond	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent Gas vesicles: nd 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.			Landjia, Central African Republic	B	Aerobic	1539
374	PCC 8949	Leptolyngbya	Cyanobactéries	PCC	407						22°C°			false		false	false	false		I. Thiery: strain 6.1.d	Pond sample	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: nd Gas vesicles: nd 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.			Kaimba, Central African Republic	B	Aerobic	1539
375	PCC 8954	Planktothrix paucivesiculata	Cyanobactéries	PCC	407						22°C°			false		false	false	false		L. Nicolas as Oscillatoria Lat 02	Sewage lagoon, larvae Culex pipiens	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: permanent 							Lattes, Montpellier, France	B	Aerobic	1539
376	PCC 8955	Cyanothece	Cyanobactéries	PCC	407					01-01-1989	22°			false		false	false	false		R. Rippka << (l) I. Thiery (Synechococcus 18.1.1)	J.-B. Bokassa's swimming pool	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): 3 - 4 W/D (transient stages): n/a Motility: - Gas vesicles: - PHA inclusions 							Central African Republic	B	Aerobic	1539
377	PCC 8959	Pleurocapsa	Cyanobactéries	PCC	407					01-01-1989	22°			false		false	false	false		R. Rippka as Pleurocapsa MBI.2 <-(l) L. Nicolas	Sewage treatment pond	%G+C: nd Genome size (Gdal): nd Nutrition: photoheterotroph Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: + Pigments PEC: nd CCA: + W/D (vegetatives cells): n/a W/D (transient stages): 1 - 1.5 Motility: transient Gas vesicles: - 							Murviels, Mediterranean coast, France	B	Aerobic	1540
378	PCC 8960	Leptolyngbya	Cyanobactéries	PCC	407					01-01-1989	22°			false		false	false	false		R. Rippka: strain MBI.3 <- (l) L. Nicolas	Sewage treatment pond	%G+C: nd Genome size (Gdal): nd Nutrition: photoheterotroph Salt tolerance: euryhaline N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: + W/D (vegetatives cells): 2.1 - 2.5 W/D (transient stages): n/a Motility: nd Gas vesicles: nd 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.  &nbsp;  &nbsp;			Murviels, Mediterranean coast, France	B	Aerobic	1540
379	PCC 8962	Synechocystis	Cyanobactéries	PCC	407					01-01-1989	22°			false		false	false	false		R. Rippka as Synechocystis MBI.7 <-(l) L. Nicolas	Sewage treatment pond	%G+C: 47 Genome size (Gdal): 1.99 Nutrition: photoheterotroph Salt tolerance: euryhaline N2 fixation: nd Pigments C-PE: - Pigments PEC: nd CCA: - W/D (vegetatives cells): 2.3 - 2.6 W/D (transient stages): n/a Motility: permanent Gas vesicles: - 							Murviels, Mediterranean coast, France	B	Aerobic	1540
380	PCC 8963	Oscillatoria	Cyanobactéries	PCC	407					01-01-1989	22°			false		false	false	false		R. Rippka <- (l) L. Nicolas as Oscillatoria MBI.8	Sewage treatment pond	%G+C: nd Genome size (Gdal): nd Nutrition: obligate autotroph Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: - W/D (vegetatives cells): 8.5 - 9.5 W/D (transient stages): n/a Motility: permanent Gas vesicles: nd 							Murviels, Mediterranean coast, France	B	Aerobic	1539
381	PCC 8964	Leptolyngbya	Cyanobactéries	PCC	407					01-01-1989	22°			false		false	false	false		R. Rippka: strain MBI.9 <- (l) L. Nicolas	Sewage treatment pond	%G+C: nd Genome size (Gdal): nd Nutrition: chemoheterotroph Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): 2.1 - 2.5 W/D (transient stages): n/a Motility: nd Gas vesicles: nd 							Murviels, Mediterranean coast, France	B	Aerobic	1539
382	PCC 8965	Pseudanabaena	Cyanobactéries	PCC	407					01-01-1989	22°			false		false	false	false		R. Rippka as Pseudanabaena TPF.1 <- (l) L. Nicolas	Brackish marshland, Typha habitat	%G+C: nd Genome size (Gdal): nd Nutrition: chemoheterotroph Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): 1.5 - 1.7 W/D (transient stages): n/a Motility: permanent Gaz vesicles: permanent, polar 							Fos sur mer, Mediterranean coast, France	B	Aerobic	1539
383	PCC 8966	Cyanobium	Cyanobactéries	PCC	407					01-01-1989	22°			false		false	false	false		R. Rippka as Synechococcus TPF.2 <- (l) L. Nicolas	Brackish marshland, Typha habitat	%G+C: 71.3 Genome size (Gdal): 2.17 Nutrition: obligate autotroph Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: - Pigments PEC: nd CCA: nd W/D (vegetatives cells): 0.8 - 1 W/D (transient stages): n/a Phages (res): AS-1M Motility: - Gas vesicles: - 							Fos sur mer, Mediterranean coast, France	B	Aerobic	1539
384	PCC 8971	Pseudanabaena	Cyanobactéries	PCC	407					01-01-1989	22°			false		false	false	false		R. Rippka as Pseudanabaena TPF.7 <- (l) L. Nicolas	Brackish marshland, Typha habitat	%G+C: nd Genome size (Gdal): nd Nutrition: photoheterotroph Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: + W/D (vegetatives cells): 1.8 - 2 W/D (transient stages): n/a Motility: permanent Gaz vesicles: permanent, polar 							Fos sur mer, Mediterranean coast, France	B	Aerobic	1539
385	PCC 8973	Oscillatoria	Cyanobactéries	PCC	407					01-01-1989	22°			false		false	false	false		R. Rippka as Oscillatoria TPF.9 <- (l) L. Nicolas	Brackish marshland, Typha habitat	%G+C: nd Genome size (Gdal): nd Nutrition: obligate autotroph Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): 5.5 - 6.5 W/D (transient stages): n/a Motility: permanent Gas vesicles: nd 							Fos sur mer, Mediterranean coast, France	B	Aerobic	1539
386	PCC 8974	Synechocystis	Cyanobactéries	PCC	407					01-01-1989	22°			false		false	false	false		R. Rippka as Synechocystis TPF.10 <- (l) L. Nicolas	Brackish marshland, Typha habitat	%G+C: 46.6 Genome size (Gdal): 2.01 Nutrition: obligate autotroph Salt tolerance: euryhaline N2 fixation: nd Pigments C-PE: - Pigments PEC: nd CCA: - W/D (vegetatives cells): 2.8 - 3.3 W/D (transient stages): n/a Motility: nd Gas vesicles: - 							Fos sur mer, Mediterranean coast, France	B	Aerobic	1553
387	PCC 8975	Cyanobium	Cyanobactéries	PCC	407					01-01-1989	22°			false		false	false	false		R. Rippka as Synechococcus TPF.11 <- (l) L. Nicolas	Brackish marshland, Typha habitat	%G+C: 67.1 Genome size (Gdal): 1.89 Nutrition: photoheterotroph Salt tolerance: stenohaline N2 fixation: nd Pigments C-PE: - Pigments PEC: nd CCA: nd W/D (vegetatives cells): 1.2 - 1.4 W/D (transient stages): n/a Phages (res): AS-1M Motility: - Gas vesicles: - 				Notice&nbsp;:&nbsp; This strain is cryopreserved. Thus, a delay of 1 to 4 months is necessary before dispatch.  &nbsp;  &nbsp;			Fos sur mer, Mediterranean coast, France	B	Aerobic	1539
388	PCC 8976	Nostoc	Cyanobactéries	PCC	407					01-01-1989	22°			false		false	false	false		R. Rippka: strain TPF.12 <- (l) L. Nicolas	Brackish marshland, Typha habitat	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: aerobic Pigments C-PE: + Pigments PEC: - CCA: + W/D (vegetatives cells): nd W/D (transient stages): nd Motility: nd Gas vesicles: nd 							Fos sur mer, Mediterranean coast, France	B	Aerobic	1547
389	PCC 8978	Synechococcus	Cyanobactéries	PCC	407					01-01-1989	22°			false		false	false	false		R. Rippka as Synechococcus TPF.14 <- (l) L. Nicolas	Brackish marshland, Typha habitat	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): nd W/D (transient stages): n/a Motility: nd Gas vesicles: - 							Fos sur mer, Mediterranean coast, France	B	Aerobic	1539
390	PCC 8979	Nostoc	Cyanobactéries	PCC	407					01-01-1989	22°			false		false	false	false		R. Rippka: strain TPF.15 <- (l) L. Nicolas	Brackish marshland, Typha habitat	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: aerobic Pigments C-PE: + Pigments PEC: - CCA: nd W/D (vegetatives cells): nd W/D (transient stages): nd Motility: nd Gas vesicles: nd 							Fos sur mer, Mediterranean coast, France	B	Aerobic	1547
391	PCC 8980	Leptolyngbya	Cyanobactéries	PCC	407					01-01-1989	22°			false		false	false	false		R. Rippka: strainTPF.16 <- (l) L. Nicolas	Brackish marshland, Typha habitat	%G+C: nd Genome size (Gdal): nd Nutrition: chemoheterotroph Salt tolerance: euryhaline N2 fixation: nd Pigments C-PE: nd Pigments PEC: nd CCA: nd W/D (vegetatives cells): 1.3 - 1.5 W/D (transient stages): n/a Motility: nd Gas vesicles: nd 							Fos sur mer, Mediterranean coast, France	B	Aerobic	1539
392	PCC 8981	Synechocystis	Cyanobactéries	PCC	407					01-01-1989	22°			false		false	false	false		R. Rippka as Synechocystis FB5.1 <- (l) L. Nicolas	Outlet of sewage lagoon	%G+C: nd Genome size (Gdal): nd Nutrition: nd N2 fixation: nd Pigments C-PE: + Pigments PEC: - CCA: nd W/D (vegetatives cells): > 3 W/D (transient stages): n/a Motility: permanent Gas vesicles: - 							Fabrège, Mediterranean coast, France	B	Aerobic	1539
